########################################
#####  Reporte de ruta calculada  ######
########################################
######  Estimacion - ruta programada  ######
Nombre de la mision:t11-sad 
Modelo de ruta: SAD 
ZONA_DERECHA 
Distancia de mision aprox. (mts): 185
Tiempo de mision aprox. (min): 3.25
######  Parametros generales  ######
Direccion de la torre (deg): 245 
Drone - LAT: 3.83906433, LON: -71.3948363
Coordenada referencia - LAT: 3.83888711, LON: -71.3950704
Coordenada Torre - LAT: 3.83898178, LON: -71.3948678
#####  Coordenadas de ruta  ######
Numero de coordenadas: 21 
3.83906433,-71.3948363,13.05,154,0,0,0
3.83909608,-71.3949214,13.05,154,0,0,0
3.83909608,-71.3949214,31.1,154,1,0,0
3.83903965,-71.3949148,31.1,136,0,0,1
3.83905489,-71.3948822,31.1,173,1,0,1
3.83909608,-71.3949214,31.1,154,0,0,0
3.83909608,-71.3949214,13.05,154,0,0,0
3.83903893,-71.3950437,13.05,154,0,0,0
3.83881033,-71.3949364,13.05,154,0,0,0
3.83886748,-71.3948141,13.05,-25,0,0,0
3.83886748,-71.3948141,29.5,-25,0,0,0
3.83890867,-71.3948533,29.5,-6,1,0,1
3.83892391,-71.3948207,29.5,-43,0,0,1
3.83892391,-71.3948207,32.3,-43,0,0,1
3.83890867,-71.3948533,32.3,-6,1,0,1
3.83886748,-71.3948141,32.3,-25,0,0,0
3.83886748,-71.3948141,13.05,-25,0,0,0
3.83881033,-71.3949364,13.05,-25,0,0,0
3.83903893,-71.3950437,13.05,-25,0,0,0
3.83909608,-71.3949214,13.05,-25,0,0,0
3.83906433,-71.3948363,13.05,-25,0,0,0
